codInst,codCurso,Inst,Curso,Grau,Vagas,Colocados,Nota,Sobras
0140,8031,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Farmacêuticas (Preparatórios),PM,18,7,141.8,11
0140,8086,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Medicina Veterinária (Preparatórios),PM,15,15,167.7,0
0140,9022,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Ciências Agrárias,L1,20,11,114.3,9
0140,L121,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Natureza e Património,L1,25,14,123.6,11
0150,9181,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,História,L1,21,21,138.5,0
0150,9219,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Psicologia,L1,40,40,137.9,0
0150,9238,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Serviço Social,L1,37,37,125.3,0
0150,9240,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Sociologia,L1,28,17,114.5,11
0150,9798,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Relações Públicas e Comunicação,L1,45,45,122.2,0
0150,9853,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Educação Básica,L1,22,22,117.6,0
0150,L041,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Portugueses e Ingleses,L1,20,17,112.9,3
0150,L086,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Estudos Euro-Atlânticos,L1,27,14,106.0,13
0160,8083,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciclo Básico de Medicina,PM,44,44,182.5,0
0160,8524,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Proteção Civil e Gestão de Riscos,L1,25,24,111.9,1
0160,9011,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Biologia,L1,25,25,122.2,0
0160,9185,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Informática,L1,25,14,128.5,11
0160,9864,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Ciênc de Engenharia-Eng Civil; Eng Mecânica; Eng Eletrot e de Comput (Pre),PM,22,16,125.8,6
0170,9081,Universidade dos Açores - Faculdade de Economia e Gestão,Economia,L1,20,10,122.7,10
0170,9147,Universidade dos Açores - Faculdade de Economia e Gestão,Gestão,L1,50,50,133.2,0
0170,9254,Universidade dos Açores - Faculdade de Economia e Gestão,Turismo,L1,27,27,131.7,0
0200,9351,Universidade do Algarve,Ciências Biomédicas,L1,50,50,121.4,0
0201,8509,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Património Cultural e Arqueologia,L1,36,21,106.1,15
0201,9204,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,"Línguas, Literaturas e Culturas",L1,35,29,105.0,6
0201,9219,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Psicologia,L1,65,66,150.6,0
0201,9817,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Artes Visuais,L1,30,21,115.0,9
0201,9821,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Ciências da Educação e da Formação,L1,30,31,123.5,0
0201,9834,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Línguas e Comunicação,L1,43,47,113.3,0
0203,8258,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Arquitetura Paisagista,L1,24,21,114.9,3
0203,9003,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Agronomia,L1,20,5,118.9,15
0203,9011,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia,L1,54,59,119.8,0
0203,9013,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biologia Marinha,L1,78,81,132.7,0
0203,9015,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioquímica,L1,25,25,116.9,0
0203,9016,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Biotecnologia,L1,25,18,113.8,7
0203,9119,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Engenharia Informática,L1,102,96,108.4,7
0203,9210,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Matemática Aplicada à Economia e à Gestão,L1,34,26,114.5,8
0203,9494,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Ciências Farmacêuticas,MI,52,52,142.0,0
0203,9540,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Bioengenharia,L1,20,9,119.6,11
0203,L123,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Gestão Marinha e Costeira,L1,36,23,113.7,14
0204,9081,Universidade do Algarve - Faculdade de Economia,Economia,L1,37,38,125.6,0
0204,9152,Universidade do Algarve - Faculdade de Economia,Gestão de Empresas,L1,75,81,137.7,0
0204,9240,Universidade do Algarve - Faculdade de Economia,Sociologia,L1,39,39,131.7,0
0300,9002,Universidade de Aveiro,Administração Pública,L1,62,64,142.4,0
0300,9011,Universidade de Aveiro,Biologia,L1,104,105,148.0,0
0300,9012,Universidade de Aveiro,Biologia e Geologia,L1,24,25,126.8,0
0300,9015,Universidade de Aveiro,Bioquímica,L1,61,61,161.2,0
0300,9016,Universidade de Aveiro,Biotecnologia,L1,59,59,165.0,0
0300,9041,Universidade de Aveiro,Ciências do Mar,L1,33,34,127.5,0
0300,9069,Universidade de Aveiro,Design,L1,55,55,169.8,0
0300,9081,Universidade de Aveiro,Economia,L1,51,51,167.6,0
0300,9119,Universidade de Aveiro,Engenharia Informática,L1,60,60,177.5,0
0300,9141,Universidade de Aveiro,Física,L1,21,21,143.8,0
0300,9146,Universidade de Aveiro,Geologia,L1,20,17,103.0,3
0300,9147,Universidade de Aveiro,Gestão,L1,42,42,171.8,0
0300,9194,Universidade de Aveiro,Línguas e Estudos Editoriais,L1,28,30,150.8,0
0300,9196,Universidade de Aveiro,Línguas e Relações Empresariais,L1,75,76,155.8,0
0300,9204,Universidade de Aveiro,"Línguas, Literaturas e Culturas",L1,32,32,142.6,0
0300,9209,Universidade de Aveiro,Matemática,L1,37,37,145.2,0
0300,9212,Universidade de Aveiro,"Meteorologia, Oceanografia e Geofísica",L1,20,15,110.0,5
0300,9215,Universidade de Aveiro,Novas Tecnologias da Comunicação,L1,72,72,146.4,0
0300,9219,Universidade de Aveiro,Psicologia,L1,34,34,158.0,0
0300,9223,Universidade de Aveiro,Química,L1,26,26,139.6,0
0300,9252,Universidade de Aveiro,Tradução,L1,37,37,142.6,0
0300,9351,Universidade de Aveiro,Ciências Biomédicas,L1,75,75,166.0,0
0300,9359,Universidade de Aveiro,Engenharia Biomédica,MI,38,38,177.3,0
0300,9360,Universidade de Aveiro,Engenharia Civil,MI,31,22,107.6,9
0300,9361,Universidade de Aveiro,Engenharia de Computadores e Telemática,MI,86,86,149.0,0
0300,9363,Universidade de Aveiro,Engenharia de Materiais,MI,31,31,125.6,0
0300,9365,Universidade de Aveiro,Engenharia Eletrónica e Telecomunicações,MI,83,83,118.8,0
0300,9368,Universidade de Aveiro,Engenharia Física,MI,41,41,161.0,0
0300,9369,Universidade de Aveiro,Engenharia Mecânica,MI,105,105,161.8,0
0300,9461,Universidade de Aveiro,Engenharia Química,MI,45,45,148.0,0
0300,9508,Universidade de Aveiro,Engenharia do Ambiente,MI,22,22,116.4,0
0300,9509,Universidade de Aveiro,Engenharia e Gestão Industrial,MI,74,74,169.6,0
0300,9853,Universidade de Aveiro,Educação Básica,L1,44,44,133.0,0
0300,G009,Universidade de Aveiro,Engenharia Computacional,MI,28,28,127.3,0
0300,L187,Universidade de Aveiro,Gestão e Planeamento em Turismo,L1,29,29,139.4,0
0400,8184,Universidade da Beira Interior,Optometria e Ciências da Visão,L1,30,30,121.4,0
0400,8470,Universidade da Beira Interior,Engenharia Aeronáutica,MI,50,50,172.4,0
0400,9015,Universidade da Beira Interior,Bioquímica,L1,45,45,122.3,0
0400,9016,Universidade da Beira Interior,Biotecnologia,L1,40,41,108.0,0
0400,9020,Universidade da Beira Interior,Ciência Política e Relações Internacionais,L1,35,37,159.2,0
0400,9023,Universidade da Beira Interior,Ciências da Comunicação,L1,50,51,143.4,0
0400,9025,Universidade da Beira Interior,Ciências da Cultura,L1,20,21,123.9,0
0400,9048,Universidade da Beira Interior,Cinema,L1,45,45,141.5,0
0400,9071,Universidade da Beira Interior,Design de Moda,L1,50,50,141.5,0
