;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
ids;Código Curso;Nome do Curso;Vagas Iniciais;Colocados ;Vagas;Ano;Código Instit.;
;(2);(4);(6);(7);;2018;(1);
1;8031;Ciências Farmacêuticas (Preparatórios);15;10;15;2018;0140;
2;8086;Medicina Veterinária (Preparatórios);15;15;15;2018;0140;
3;9022;Ciências Agrárias;20;1;20;2018;0140;
4;L121;Natureza e Património;30;7;30;2018;0140;
5;8082;Arquitetura (Preparatórios);15;3;15;2018;0150;
6;9181;História;20;11;20;2018;0150;
7;9219;Psicologia;35;35;35;2018;0150;
8;9238;Serviço Social;35;35;35;2018;0150;
9;9240;Sociologia;28;9;28;2018;0150;
10;9798;Relações Públicas e Comunicação;45;45;45;2018;0150;
11;9853;Educação Básica;20;17;20;2018;0150;
12;L041;Estudos Portugueses e Ingleses;20;9;20;2018;0150;
13;L086;Estudos Euro-Atlânticos;25;9;25;2018;0150;
14;8083;Ciclo Básico de Medicina;38;38;38;2018;0160;
15;8524;Proteção Civil e Gestão de Riscos;25;19;25;2018;0160;
16;9011;Biologia;25;14;25;2018;0160;
17;9041;Ciências do Mar;20;1;20;2018;0160;
18;9384;Informática - Redes e Multimédia;35;12;35;2018;0160;
19;9864;"Ciênc de Engenharia-Eng Civil; Eng Mecânica; Eng Eletrot e de Comput (Pre)";22;14;22;2018;0160;
20;9081;Economia;20;1;20;2018;0170;
21;9147;Gestão;50;50;50;2018;0170;
22;9254;Turismo;25;25;25;2018;0170;
23;9351;Ciências Biomédicas;50;50;50;2018;0200;
24;8509;Património Cultural e Arqueologia;24;18;24;2018;0201;
25;9204;Línguas, Literaturas e Culturas;23;18;23;2018;0201;
26;9219;Psicologia;65;68;68;2018;0201;
27;9817;Artes Visuais;25;21;25;2018;0201;
28;9821;Ciências da Educação e da Formação;28;30;30;2018;0201;
29;9834;Línguas e Comunicação;30;33;33;2018;0201;
30;8258;Arquitetura Paisagista;20;8;20;2018;0203;
31;9003;Agronomia;20;1;20;2018;0203;
32;9011;Biologia;40;29;40;2018;0203;
33;9013;Biologia Marinha;60;57;60;2018;0203;
34;9015;Bioquímica;21;18;21;2018;0203;
35;9016;Biotecnologia;20;9;20;2018;0203;
36;9119;Engenharia Informática;70;64;70;2018;0203;
37;9210;Matemática Aplicada à Economia e à Gestão;22;17;22;2018;0203;
38;9494;Ciências Farmacêuticas;45;46;46;2018;0203;
39;L123;Gestão Marinha e Costeira;28;6;28;2018;0203;
40;9081;Economia;30;17;30;2018;0204;
41;9152;Gestão de Empresas;55;60;60;2018;0204;
42;9240;Sociologia;30;35;35;2018;0204;
43;9002;Administração Pública;55;57;57;2018;0300;
44;9011;Biologia;98;98;98;2018;0300;
45;9012;Biologia e Geologia;27;24;27;2018;0300;
46;9015;Bioquímica;60;60;60;2018;0300;
47;9016;Biotecnologia;58;59;59;2018;0300;
48;9041;Ciências do Mar;30;30;30;2018;0300;
49;9069;Design;53;54;54;2018;0300;
50;9081;Economia;48;48;48;2018;0300;
51;9119;Engenharia Informática;54;54;54;2018;0300;
52;9141;Física;20;20;20;2018;0300;
53;9146;Geologia;20;9;20;2018;0300;
54;9147;Gestão;40;40;40;2018;0300;
55;9194;Línguas e Estudos Editoriais;25;25;25;2018;0300;
56;9196;Línguas e Relações Empresariais;70;71;71;2018;0300;
57;9204;Línguas, Literaturas e Culturas;29;31;31;2018;0300;
58;9209;Matemática;27;27;27;2018;0300;
59;9212;Meteorologia, Oceanografia e Geofísica;20;20;20;2018;0300;
60;9215;Novas Tecnologias da Comunicação;66;66;66;2018;0300;
61;9219;Psicologia;33;33;33;2018;0300;
62;9223;Química;20;20;20;2018;0300;
63;9252;Tradução;35;35;35;2018;0300;
64;9254;Turismo;26;26;26;2018;0300;
65;9351;Ciências Biomédicas;72;72;72;2018;0300;
66;9359;Engenharia Biomédica;35;35;35;2018;0300;
67;9360;Engenharia Civil;20;18;20;2018;0300;
68;9361;Engenharia de Computadores e Telemática;83;84;84;2018;0300;
69;9363;Engenharia de Materiais;25;25;25;2018;0300;
70;9365;Engenharia Eletrónica e Telecomunicações;83;83;83;2018;0300;
71;9368;Engenharia Física;40;40;40;2018;0300;
72;9369;Engenharia Mecânica;101;101;101;2018;0300;
73;9461;Engenharia Química;40;40;40;2018;0300;
74;9508;Engenharia do Ambiente;22;22;22;2018;0300;
75;9509;Engenharia e Gestão Industrial;75;75;75;2018;0300;
76;9853;Educação Básica;48;28;48;2018;0300;
77;G009;Engenharia Computacional;22;22;22;2018;0300;
78;8184;Optometria e Ciências da Visão;35;9;35;2018;0400;
79;8470;Engenharia Aeronáutica;45;45;45;2018;0400;
80;9015;Bioquímica;45;45;45;2018;0400;
81;9016;Biotecnologia;45;44;45;2018;0400;
82;9020;Ciência Política e Relações Internacionais;35;36;36;2018;0400;
83;9023;Ciências da Comunicação;45;45;45;2018;0400;
84;9025;Ciências da Cultura;20;20;20;2018;0400;
85;9048;Cinema;45;45;45;2018;0400;
86;9071;Design de Moda;50;51;51;2018;0400;
87;9074;Design Industrial;35;35;35;2018;0400;
88;9075;Design Multimédia;40;42;42;2018;0400;
89;9081;Economia;45;45;45;2018;0400;
90;9104;Engenharia e Gestão Industrial;22;18;22;2018;0400;
91;9105;Engenharia Eletromecânica;30;18;30;2018;0400;
92;9112;Engenharia Eletrotécnica e de Computadores;20;6;20;2018;0400;
93;9119;Engenharia Informática;65;65;65;2018;0400;
94;9147;Gestão;60;60;60;2018;0400;
95;9205;Marketing;35;33;35;2018;0400;
96;9219;Psicologia;50;51;51;2018;0400;
97;9225;Química Industrial;25;18;25;2018;0400;
98;9240;Sociologia;40;41;41;2018;0400;
99;9257;Arquitetura;60;41;60;2018;0400;
100;9351;Ciências Biomédicas;60;60;60;2018;0400;
101;9360;Engenharia Civil;25;0;25;2018;0400;
102;9494;Ciências Farmacêuticas;60;60;60;2018;0400;
103;9540;Bioengenharia;20;16;20;2018;0400;
104;9707;Ciências do Desporto;60;63;63;2018;0400;
105;9813;Medicina;140;140;140;2018;0400;
